iter	Passed	Remaining
0	29	29267
1	63	31561
2	95	31601
3	123	30846
4	156	31147
5	192	31811
6	228	32427
7	276	34293
8	310	34150
9	339	33603
10	370	33308
11	401	33062
12	433	32881
13	461	32534
14	489	32134
15	514	31620
16	543	31446
17	573	31275
18	606	31296
19	634	31111
20	661	30826
21	689	30633
22	720	30595
23	752	30589
24	780	30432
25	807	30236
26	836	30146
27	865	30033
28	893	29916
29	921	29783
30	949	29678
31	975	29507
32	1003	29394
33	1030	29271
34	1058	29181
35	1087	29126
36	1114	29006
37	1145	28998
38	1173	28909
39	1201	28832
40	1230	28787
41	1259	28720
42	1289	28697
43	1317	28619
44	1347	28594
45	1374	28508
46	1402	28446
47	1432	28408
48	1453	28207
49	1479	28106
50	1506	28037
51	1533	27948
52	1559	27863
53	1586	27784
54	1613	27714
55	1639	27635
56	1661	27483
57	1692	27483
58	1720	27442
59	1744	27337
60	1769	27232
61	1796	27176
62	1824	27139
63	1850	27070
64	1876	26999
65	1902	26925
66	1929	26867
67	1958	26837
68	1983	26769
69	2013	26753
70	2042	26720
71	2070	26691
72	2100	26678
73	2129	26651
74	2160	26647
75	2187	26597
76	2217	26580
77	2242	26505
78	2269	26462
79	2289	26331
80	2318	26302
81	2345	26263
82	2372	26207
83	2397	26144
84	2421	26068
85	2450	26042
86	2476	25993
87	2506	25976
88	2535	25948
89	2560	25893
90	2591	25885
91	2619	25855
92	2645	25799
93	2671	25746
94	2698	25710
95	2727	25685
96	2753	25633
97	2781	25599
98	2809	25565
99	2837	25537
100	2863	25485
101	2893	25476
102	2923	25460
103	2953	25443
104	2980	25407
105	3009	25385
106	3037	25352
107	3060	25277
108	3088	25249
109	3113	25191
110	3141	25157
111	3165	25099
112	3191	25049
113	3219	25023
114	3248	24996
115	3272	24939
116	3300	24907
117	3330	24896
118	3354	24837
119	3382	24804
120	3407	24751
121	3432	24703
122	3460	24674
123	3485	24623
124	3515	24605
125	3542	24569
126	3567	24525
127	3594	24487
128	3619	24438
129	3646	24406
130	3674	24377
131	3700	24332
132	3729	24314
133	3755	24268
134	3778	24212
135	3807	24190
136	3838	24181
137	3865	24144
138	3894	24124
139	3919	24078
140	3944	24032
141	3978	24040
142	4020	24093
143	4045	24049
144	4071	24007
145	4113	24060
146	4166	24175
147	4209	24234
148	4242	24232
149	4278	24247
150	4319	24284
151	4390	24495
152	4432	24538
153	4470	24556
154	4517	24625
155	4561	24681
156	4605	24730
157	4649	24776
158	4687	24791
159	4722	24793
160	4770	24861
161	4828	24977
162	4869	25002
163	4911	25036
164	4954	25071
165	4995	25100
166	5038	25133
167	5101	25263
168	5144	25294
169	5180	25293
170	5216	25287
171	5261	25328
172	5324	25455
173	5370	25492
174	5413	25522
175	5456	25546
176	5491	25535
177	5523	25505
178	5553	25470
179	5584	25438
180	5614	25402
181	5641	25357
182	5672	25326
183	5703	25295
184	5738	25280
185	5769	25247
186	5801	25222
187	5834	25200
188	5863	25162
189	5893	25124
190	5923	25088
191	5957	25072
192	5990	25050
193	6025	25033
194	6057	25008
195	6088	24974
196	6121	24950
197	6152	24919
198	6184	24892
199	6215	24863
200	6248	24839
201	6282	24819
202	6314	24791
203	6354	24793
204	6392	24789
205	6436	24807
206	6478	24817
207	6516	24813
208	6554	24806
209	6596	24815
210	6639	24826
211	6672	24801
212	6714	24809
213	6740	24758
214	6766	24706
215	6796	24669
216	6826	24630
217	6855	24590
218	6884	24550
219	6913	24512
220	6940	24463
221	6970	24427
222	6998	24385
223	7028	24348
224	7054	24299
225	7080	24250
226	7114	24227
227	7136	24164
228	7161	24112
229	7192	24079
230	7219	24034
231	7246	23988
232	7271	23937
233	7298	23893
234	7326	23850
235	7356	23816
236	7387	23783
237	7416	23746
238	7447	23712
239	7476	23674
240	7502	23627
241	7529	23583
242	7560	23553
243	7590	23519
244	7625	23498
245	7651	23451
246	7678	23409
247	7709	23378
248	7738	23341
249	7776	23329
250	7806	23294
251	7834	23253
252	7866	23225
253	7898	23198
254	7926	23156
255	7953	23114
256	7982	23078
257	8013	23045
258	8040	23002
259	8071	22972
260	8101	22939
261	8132	22907
262	8160	22868
263	8185	22821
264	8217	22791
265	8246	22754
266	8277	22725
267	8309	22695
268	8338	22660
269	8368	22627
270	8400	22598
271	8432	22568
272	8463	22539
273	8492	22502
274	8518	22458
275	8547	22422
