iter	Passed	Remaining
0	27	27935
1	56	28036
2	83	27828
3	112	27993
4	140	27923
5	167	27810
6	197	28033
7	222	27651
8	250	27594
9	277	27426
10	301	27150
11	329	27140
12	355	26966
13	382	26969
14	411	27049
15	436	26849
16	465	26937
17	489	26704
18	519	26845
19	538	26363
20	565	26341
21	588	26171
22	616	26172
23	644	26223
24	671	26204
25	699	26220
26	726	26166
27	752	26106
28	781	26174
29	808	26144
30	834	26071
31	861	26061
32	890	26093
33	920	26144
34	944	26042
35	970	25989
36	999	26017
37	1025	25966
38	1049	25871
39	1078	25884
40	1105	25865
41	1133	25857
42	1165	25947
43	1197	26018
44	1258	26706
45	1315	27272
46	1342	27219
47	1367	27127
48	1394	27069
49	1423	27043
50	1450	26997
51	1477	26940
52	1505	26899
53	1530	26814
54	1558	26775
55	1586	26738
56	1613	26686
57	1642	26670
58	1670	26641
59	1697	26586
60	1729	26627
61	1758	26598
62	1785	26558
63	1811	26498
64	1828	26301
65	1858	26293
66	1884	26246
67	1911	26205
68	1927	26013
69	1957	26000
70	1983	25955
71	2010	25916
72	2035	25850
73	2062	25811
74	2089	25768
75	2114	25703
76	2143	25696
77	2172	25678
78	2199	25646
79	2227	25615
80	2253	25569
81	2280	25527
82	2305	25469
83	2334	25456
84	2360	25405
85	2387	25375
86	2412	25322
87	2441	25303
88	2470	25285
89	2498	25259
90	2523	25207
91	2550	25173
92	2577	25133
93	2604	25100
94	2631	25069
95	2656	25019
96	2684	24991
97	2702	24872
98	2728	24830
99	2756	24805
100	2785	24798
101	2816	24793
102	2842	24758
103	2871	24739
104	2899	24712
105	2926	24682
106	2952	24644
107	2977	24588
108	3004	24562
109	3035	24558
110	3065	24549
111	3094	24534
112	3122	24512
113	3153	24505
114	3180	24473
115	3205	24428
116	3233	24405
117	3260	24369
118	3286	24332
119	3317	24329
120	3343	24290
121	3371	24263
122	3400	24244
123	3426	24207
124	3453	24172
125	3479	24134
126	3505	24098
127	3535	24082
128	3562	24055
129	3590	24025
130	3616	23990
131	3647	23983
132	3673	23944
133	3700	23917
134	3730	23905
135	3758	23876
136	3783	23836
137	3812	23814
138	3839	23779
139	3867	23758
140	3895	23733
141	3922	23699
142	3949	23669
143	3979	23655
144	4009	23640
145	4034	23598
146	4064	23587
147	4089	23541
148	4116	23512
149	4145	23490
150	4172	23461
151	4201	23437
152	4230	23418
153	4261	23410
154	4289	23383
155	4313	23337
156	4341	23312
157	4367	23273
158	4394	23241
159	4421	23213
160	4448	23179
161	4474	23145
162	4499	23104
163	4526	23074
164	4553	23041
165	4579	23009
166	4608	22988
167	4635	22958
168	4662	22925
169	4689	22895
170	4714	22853
171	4740	22822
172	4765	22782
173	4792	22748
174	4821	22727
175	4846	22692
176	4874	22665
177	4903	22642
178	4932	22621
179	4961	22601
180	4988	22571
181	5014	22539
182	5041	22508
183	5068	22479
184	5094	22442
185	5124	22425
186	5147	22381
187	5175	22352
188	5204	22334
189	5229	22295
190	5258	22272
191	5284	22237
192	5311	22207
193	5341	22191
194	5365	22151
195	5389	22109
196	5413	22066
197	5441	22042
198	5468	22011
199	5493	21973
200	5521	21947
201	5549	21922
202	5573	21882
203	5601	21854
204	5625	21814
205	5652	21785
206	5676	21744
207	5706	21727
208	5731	21691
